,train,train_label,val,val_label,test,test_label
0,44,2,375,2,223,3
1,428,1,77,3,121,3
2,137,1,273,3,35,2
3,62,0,439,2,339,1
4,233,3,101,1,12,1
5,74,3,325,1,189,2
6,239,1,350,1,250,3
7,330,1,89,1,258,2
8,265,3,284,1,176,1
9,199,2,270,1,272,1
10,104,1,352,1,294,3
11,231,1,207,2,360,3
12,51,1,82,1,169,2
13,214,1,451,1,449,1
14,142,2,161,2,2,2
15,215,2,409,1,311,2
16,159,2,151,1,275,3
17,220,1,163,3,98,1
18,317,1,66,3,333,2
19,362,1,122,2,260,1
20,216,1,411,1,331,3
21,427,3,19,3,47,1
22,296,1,254,1,21,3
23,434,2,227,2,401,1
24,425,1,128,2,217,1
25,167,1,232,1,178,3
26,173,2,108,3,191,1
27,283,1,446,1,24,2
28,358,1,68,1,25,1
29,365,1,152,1,141,3
30,75,3,38,1,407,1
31,154,3,116,1,308,1
32,91,1,88,2,26,3
33,124,2,39,1,328,1
34,408,3,205,1,235,1
35,252,3,437,1,203,3
36,318,2,419,1,334,2
37,49,1,370,2,281,1
38,243,3,158,2,340,3
39,378,2,10,3,271,1
40,136,2,302,1,3,3
41,86,3,182,3,125,3
42,319,2,305,2,247,3
43,16,1,90,1,17,3
44,269,3,87,2,245,2
45,139,2,149,3,226,1
46,338,2,56,1,45,1
47,180,2,347,1,30,1
48,109,1,78,1,351,3
49,147,3,327,3,146,3
50,181,3,36,3,397,1
51,280,2,354,2,455,3
52,432,3,204,2,376,2
53,391,1,171,3,431,1
54,213,1,127,1,4,3
55,440,1,43,2,414,1
56,138,1,444,1,249,1
57,224,2,335,1,32,1
58,67,3,421,1,237,2
59,406,3,381,1,417,1
60,436,1,117,1,9,1
61,346,1,202,2,145,3
62,256,1,371,1,297,1
63,392,1,115,2,385,2
64,40,2,103,1,418,1
65,168,1,64,1,113,1
66,402,2,209,1,413,1
67,228,1,99,1,100,1
68,377,2,412,1,364,1
69,20,2,,,458,1
70,380,1,,,,
71,85,2,,,,
72,185,3,,,,
73,433,1,,,,
74,384,1,,,,
75,42,2,,,,
76,248,1,,,,
77,326,2,,,,
78,186,3,,,,
79,210,1,,,,
80,387,1,,,,
81,73,2,,,,
82,183,2,,,,
83,83,1,,,,
84,11,1,,,,
85,274,1,,,,
86,162,2,,,,
87,314,3,,,,
88,357,1,,,,
89,195,3,,,,
90,23,3,,,,
91,114,1,,,,
92,160,2,,,,
93,211,1,,,,
94,208,2,,,,
95,192,2,,,,
96,123,1,,,,
97,291,1,,,,
98,459,1,,,,
99,60,1,,,,
100,244,1,,,,
101,197,2,,,,
102,33,3,,,,
103,359,1,,,,
104,262,1,,,,
105,282,3,,,,
106,388,1,,,,
107,84,1,,,,
108,34,1,,,,
109,320,1,,,,
110,393,1,,,,
111,298,1,,,,
112,369,1,,,,
113,264,1,,,,
114,285,1,,,,
115,54,2,,,,
116,120,2,,,,
117,97,2,,,,
118,13,3,,,,
119,348,3,,,,
120,382,1,,,,
121,130,2,,,,
122,179,2,,,,
123,389,1,,,,
124,236,1,,,,
125,70,1,,,,
126,221,1,,,,
127,196,3,,,,
128,41,1,,,,
129,277,1,,,,
130,303,2,,,,
131,184,1,,,,
132,126,1,,,,
133,332,2,,,,
134,218,2,,,,
135,423,1,,,,
136,261,1,,,,
137,367,1,,,,
138,201,2,,,,
139,306,1,,,,
140,452,1,,,,
141,329,2,,,,
142,295,1,,,,
143,206,1,,,,
144,150,2,,,,
145,22,3,,,,
146,55,2,,,,
147,246,3,,,,
148,399,1,,,,
149,253,2,,,,
