序号,train,train_label,val,val_label,test,test_label
1,44,2,,,,
2,428,1,,,,
3,137,1,,,,
4,62,0,,,,
5,233,3,,,,
6,74,3,,,,
7,239,1,,,,
8,330,1,,,,
9,265,3,,,,
10,199,2,,,,
11,104,1,,,,
12,231,1,,,,
13,51,1,,,,
14,214,1,,,,
15,142,2,,,,
16,215,2,,,,
17,159,2,,,,
18,220,1,,,,
19,317,1,,,,
20,362,1,,,,
21,216,1,,,,
22,427,3,,,,
23,296,1,,,,
24,434,2,,,,
25,425,1,,,,
26,167,1,,,,
27,173,2,,,,
28,283,1,,,,
29,358,1,,,,
30,365,1,,,,
31,75,3,,,,
32,154,3,,,,
33,91,1,,,,
34,124,2,,,,
35,408,3,,,,
36,252,3,,,,
37,318,2,,,,
38,49,1,,,,
39,243,3,,,,
40,378,2,,,,
41,136,2,,,,
42,86,3,,,,
43,319,2,,,,
44,16,1,,,,
45,269,3,,,,
46,139,2,,,,
47,338,2,,,,
48,180,2,,,,
49,109,1,,,,
50,147,3,,,,
51,181,3,,,,
52,280,2,,,,
53,432,3,,,,
54,391,1,,,,
55,213,1,,,,
56,440,1,,,,
57,138,1,,,,
58,224,2,,,,
59,67,3,,,,
60,406,3,,,,
61,436,1,,,,
62,346,1,,,,
63,256,1,,,,
64,392,1,,,,
65,40,2,,,,
66,168,1,,,,
67,402,2,,,,
68,228,1,,,,
69,377,2,,,,
70,20,2,,,,
71,380,1,,,,
72,85,2,,,,
73,185,3,,,,
74,433,1,,,,
75,384,1,,,,
76,42,2,,,,
77,248,1,,,,
78,326,2,,,,
79,186,3,,,,
80,210,1,,,,
81,387,1,,,,
82,73,2,,,,
83,183,2,,,,
84,83,1,,,,
85,11,1,,,,
86,274,1,,,,
87,162,2,,,,
88,314,3,,,,
89,357,1,,,,
90,195,3,,,,
91,23,3,,,,
92,114,1,,,,
93,160,2,,,,
94,211,1,,,,
95,208,2,,,,
96,192,2,,,,
97,123,1,,,,
98,291,1,,,,
99,459,1,,,,
100,60,1,,,,
101,244,1,,,,
102,197,2,,,,
103,33,3,,,,
104,359,1,,,,
105,262,1,,,,
106,282,3,,,,
107,388,1,,,,
108,84,1,,,,
109,34,1,,,,
110,320,1,,,,
111,393,1,,,,
112,298,1,,,,
113,369,1,,,,
114,264,1,,,,
115,285,1,,,,
116,54,2,,,,
117,120,2,,,,
118,97,2,,,,
119,13,3,,,,
120,348,3,,,,
121,382,1,,,,
122,130,2,,,,
123,179,2,,,,
124,389,1,,,,
125,236,1,,,,
126,70,1,,,,
127,221,1,,,,
128,196,3,,,,
129,41,1,,,,
130,277,1,,,,
131,303,2,,,,
132,184,1,,,,
133,126,1,,,,
134,332,2,,,,
135,218,2,,,,
136,423,1,,,,
137,261,1,,,,
138,367,1,,,,
139,201,2,,,,
140,306,1,,,,
141,452,1,,,,
142,329,2,,,,
143,295,1,,,,
144,206,1,,,,
145,150,2,,,,
146,22,3,,,,
147,55,2,,,,
148,246,3,,,,
149,399,1,,,,
150,253,2,,,,
151,366,1,,,,
152,170,2,,,,
153,345,1,,,,
154,188,3,,,,
155,29,1,,,,
156,240,1,,,,
157,242,2,,,,
158,461,2,,,,
159,430,1,,,,
160,337,3,,,,
161,422,3,,,,
162,390,1,,,,
163,353,3,,,,
164,174,1,,,,
165,424,3,,,,
166,53,2,,,,
167,395,3,,,,
168,105,3,,,,
169,450,1,,,,
170,143,1,,,,
171,435,2,,,,
172,119,1,,,,
173,14,3,,,,
174,166,1,,,,
175,194,2,,,,
176,363,1,,,,
177,457,2,,,,
178,410,1,,,,
179,241,1,,,,
180,312,1,,,,
181,81,1,,,,
182,59,2,,,,
183,65,1,,,,
184,255,1,,,,
185,58,2,,,,
186,293,1,,,,
187,234,3,,,,
188,31,2,,,,
189,403,3,,,,
190,379,1,,,,
191,118,1,,,,
192,15,1,,,,
193,76,3,,,,
194,356,1,,,,
195,57,1,,,,
196,257,2,,,,
197,453,1,,,,
198,336,2,,,,
199,355,3,,,,
200,454,1,,,,
201,278,1,,,,
202,132,2,,,,
203,445,1,,,,
204,373,1,,,,
205,8,3,,,,
206,316,2,,,,
207,156,2,,,,
208,268,3,,,,
209,404,1,,,,
210,441,1,,,,
211,18,2,,,,
212,299,2,,,,
213,112,1,,,,
214,69,1,,,,
215,304,2,,,,
216,313,3,,,,
217,448,1,,,,
218,6,1,,,,
219,144,1,,,,
220,394,1,,,,
221,307,2,,,,
222,28,1,,,,
223,292,1,,,,
224,172,1,,,,
225,374,1,,,,
226,287,1,,,,
227,361,2,,,,
228,225,1,,,,
229,383,1,,,,
230,460,1,,,,
231,343,1,,,,
232,5,1,,,,
233,79,1,,,,
234,310,2,,,,
235,301,2,,,,
236,400,1,,,,
237,341,3,,,,
238,165,1,,,,
239,322,2,,,,
240,263,1,,,,
241,93,3,,,,
242,198,3,,,,
243,48,2,,,,
244,276,3,,,,
245,289,1,,,,
246,344,2,,,,
247,102,2,,,,
248,309,1,,,,
249,286,2,,,,
250,266,1,,,,
251,190,3,,,,
252,386,1,,,,
253,212,1,,,,
254,46,3,,,,
255,315,2,,,,
256,193,1,,,,
257,438,1,,,,
258,187,2,,,,
259,129,3,,,,
260,229,2,,,,
261,37,1,,,,
262,200,1,,,,
263,398,1,,,,
264,63,1,,,,
265,175,3,,,,
266,443,2,,,,
267,153,1,,,,
268,157,2,,,,
269,52,1,,,,
270,447,3,,,,
271,442,2,,,,
272,140,2,,,,
273,416,2,,,,
274,95,1,,,,
275,222,2,,,,
276,94,2,,,,
277,1,2,,,,
278,111,1,,,,
279,267,3,,,,
280,429,1,,,,
281,324,2,,,,
282,323,3,,,,
283,372,1,,,,
284,61,3,,,,
285,27,3,,,,
286,420,1,,,,
287,106,2,,,,
288,415,1,,,,
289,80,1,,,,
290,131,1,,,,
